name,address,decimal,symbol,chain_id,coinmarketcap_id,coingecko_id,market_cap,type
Gnosis,0x6810e776880c02933d47db1b9fc05908e5386b96,18,GNO,1,1659,gnosis,301617980.65614,t
HoloToken,0x6c6ee5e31d828de241282b9606c8e98ea48526e2,18,HOT,1,2682,holotoken,287506102.4846,t
Liquity USD,0x5f98805a4e8be255a32880fdec7f6728c6568ba0,18,LUSD,1,9566,liquity-usd,282501036.72687,t
Balancer,0xba100000625a3754423978a60c9317c58a424e3d,18,BAL,1,5728,balancer,270183085.67492,t
Compound,0xc00e94cb662c3520282e6f5717214004a7f26888,18,COMP,1,5692,compound-governance-token,267067007.548,t
Ankr Network,0x8290333cef9e6d528dd5618fb97a76f268f3edd4,18,ANKR,1,3783,ankr,258709157.59309,t
SSV Network,0x9d65ff81a3c488d585bbfb0bfe3c7707c7917f54,18,SSV,1,12999,ssv-network,245662940.14842,t
Swipe,0x8ce9137d39326ad0cd6491fb5cc0cba0e089b6a9,18,SXP,1,4279,swipe,243514835.27342,t
Blur,0x5283d291dbcf85356a21ba090e6db59121208b44,18,BLUR,1,23121,blur,233320191.62215,t
yearn.finance,0x0bc529c00c6401aef6d220be8c6ea1667f6ad93e,18,YFI,1,5864,yearn-finance,222136458.08567,t
Gala,0x15d4c048f83bd7e37d49ea4c83a07267ec4203da,8,GALA,1,7080,gala,214498121.95556,t
SushiToken,0x6b3595068778dd592e39a122f4f5a5cf09c90fe2,18,SUSHI,1,6758,sushi,207238108.68537,t
Ocean Protocol,0x967da4048cd07ab37855c090aaf366e4ce1b9f48,18,OCEAN,1,3911,ocean-protocol,200102546.29851,t
0x Protocol,0xe41d2489571d322189246dafa5ebde1f4699f498,18,ZRX,1,1896,0x,189950150.06045,t
LUKSO Token,0xa8b919680258d369114910511cc87595aec0be6d,18,LYXE,1,5625,lukso-token,186769235.74266,t
Band Protocol,0xba11d00c5f74255f56a5e366f4f77f5a186d7f55,18,BAND,1,4679,band-protocol,184814473.67373,t
Bone ShibaSwap,0x9813037ee2218799597d83d4a5b6f3b6778218d9,18,BONE,1,11865,bone-shibaswap,177833438.8712,t
Aelf,0xbf2179859fc6d5bee9bf9158632dc51678a4100e,18,ELF,1,2299,aelf,177426524.89219,t
Polymath,0x9992ec3cf6a55b00978cddf2b27bc6882d88d1ec,18,POLY,1,2496,polymath,166165081.20968,t
UMA Voting Token v1,0x04fa0d235c4abf4bcf4787af4cf447de572ef828,18,UMA,1,5617,uma,149772996.71485,t
TRIBE,0xc7283b66eb1eb5fb86327f08e1b5816b0720212b,18,Tribe,1,9025,tribe-2,149083805.27353,t
Wrapped UST Token,0xa47c8bf37f92abed4a126bda807a7b7498661acd,18,UST,1,7129,wrapped-ust,143824741.74557,t
Livepeer Token,0x58b6a8a3302369daec383334672404ee733ab239,18,LPT,1,3640,livepeer,140609017.4716,t
STASIS EURO,0xdb25f211ab05b1c97d595516f45794528a807ad8,2,EURS,1,2989,stasis-eurs,132661196.77407,t
Illuvium,0x767fe9edc9e0df98e07454847909b5e959d7ca0e,18,ILV,1,8719,illuvium,132418546.59512,t
Stargate Finance,0xaf5191b0de278c7286d6c7cc6ab6bb8a73ba2cd6,18,STG,1,18934,stargate-finance,123510397.6502,t
Storj,0xb64ef51c888972c908cfacf59b47c1afbc0ab8ac,8,STORJ,1,1772,storj,123175893.05363,t
KEEP Token,0x85eee30c52b0b379b046fb0f85f4f3dc3009afec,18,KEEP,1,5566,keep-network,122403876.74012,t
Amp,0xff20817765cb7f73d4bde2e66e067e58d11095c2,18,AMP,1,6945,amp-token,120151122.30123,t
Liquity,0x6dea81c8171d0ba574754ef6f8b412f2ed88c54d,18,LQTY,1,7429,liquity,120018306.33289,t
iExec RLC,0x607f4c5bb672230e8672085532f7e901544a7375,9,RLC,1,1637,iexec-rlc,116116124.08862,t
OmiseGO,0xd26114cd6ee289accf82350c8d8487fedb8a0c07,18,OMG,1,1808,omisego,112397670.58778,t
Multichain,0x65ef703f5594d2573eb71aaf55bc0cb548492df4,18,MULTI,1,17050,multichain,109472323.24058,t
PlayDapp Token,0x3a4f40631a4f906c2bad353ed06de7a5d3fcb430,18,PLA,1,7461,playdapp,101137910.50472,t
Metis Token,0x9e32b13ce7f2e80a01932b42553652e053d6ed8e,18,METIS,1,9640,metis-token,100314493.30439,t
Smooth Love Potion,0xcc8fa225d80b9c7d42f96e9570156c65d6caaa25,0,SLP,1,5824,smooth-love-potion,94216323.42163,t
Status,0x744d70fdbe2ba4cf95131626614a1763df805b9e,18,SNT,1,1759,status,92405095.11918,t
Synapse,0x0f2d719407fdbeff09d87557abb7232601fd9f29,18,SYN,1,12147,synapse-2,90882649.34751,t
Merit Circle,0x949d48eca67b17269629c7194f4b727d4ef9e5d6,18,MC,1,13523,merit-circle,89279500.0916,t
Numeraire,0x1776e1f26f98b1a5df9cd347953a26dd3cb46671,18,NMR,1,1732,numeraire,88764130.76974,t
Civic,0x41e5560054824ea6b0732e656e3ad64e20e94e45,8,CVC,1,1816,civic,88660689.31507,t
Hashflow,0xb3999f658c0391d94a37f7ff328f3fec942bcadc,18,HFT,1,22461,hashflow,88261175.37894,t
Request,0x8f8221afbb33998d8584a2b05749ba73c37a938a,18,REQ,1,2071,request-network,86787360.79976,t
AlphaToken,0xa1faa113cbe53436df28ff0aee54275c13b40975,18,ALPHA,1,7232,alpha-finance,80464218.74663,t
LooksRare,0xf4d2888d29d722226fafa5d9b24f9164c092421e,18,LOOKS,1,17081,looksrare,77906911.95485,t
Republic,0x408e41876cccdc0f92210600ef50372656052a38,18,REN,1,2539,republic-protocol,77402676.00737,t
Wrapped NXM,0x0d438f3b5175bebc262bf23753c1e53d03432bde,18,wNXM,1,5939,wrapped-nxm,77148769.27004,t
Power Ledger,0x595832f8fc6bf59c85c527fec3740a1b7a361269,6,POWR,1,2132,power-ledger,76953482.93223,t
Ribbon,0x6123b0049f904d730db3c36a31167d9d4121fa6b,18,RBN,1,12387,ribbon-finance,74678458.35459,t
Morpheus Network,0x7b0c06043468469967dba22d1af33d77d44056c8,4,MRPH,1,2763,morpheus-network,70349910.42989,t
Metal,0xf433089366899d83a9f26a773d59ec7ecf30355e,8,MTL,1,1788,metal,68602878.94301,t
Bancor,0x1f573d6fb3f13d689ff844b4ce37794d79a7ff1c,18,BNT,1,1727,bancor,65068134.53771,t
ALICE,0xac51066d7bec65dc4589368da368b212745d63e8,6,ALICE,1,8766,my-neighbor-alice,64480130.9173,t
Spell Token,0x090185f2135308bad17527004364ebcc2d37e5f6,18,SPELL,1,11289,spell-token,64040698.98526,t
Ankr Eth2 Reward Bearing Certificate,0xe95a203b1a91a908f9b9ce46459d101078c2c3cb,18,ankrETH,1,8100,ankreth,60603241.50986,t
CEEK Smart VR Token,0xb056c38f6b7dc4064367403e26424cd2c60655e1,18,CEEK,1,2856,ceek,59648893.42586,t
FunFair,0x419d0d8bdd9af5e606ae2232ed285aff190e711b,8,FUN,1,1757,funfair,58184905.64266,t
Aura Finance,0xc0c293ce456ff0ed870add98a0828dd4d2903dbf,18,AURA,1,21532,aura-finance,58091377.82989,t
DexTools,0xfb7b4564402e5500db5bb6d63ae671302777c75a,18,DEXT,1,5866,dextools,57466543.65149,t
Mainframe,0xdf2c7238198ad8b389666574f2d8bc411a4b7428,18,MFT,1,2896,mainframe,56895842.20087,t
Celsius,0xaaaebe6fe48e54f431b0c390cfaf0b017d09d42d,4,CEL,1,2700,celsius-degree-token,54088334.94308,t
MCDEX Token,0x4e352cf164e64adcbad318c3a1e222e9eba4ce42,18,MCB,1,5956,mcdex,51733048.50219,t
TrueFi,0x4c19596f5aaff459fa38b0f7ed92f11ae6543784,8,TRU,1,7725,truefi,50692588.76536,t
Badger DAO,0x3472a5a71965499acd81997a54bba8d852c6e53d,18,BADGER,1,7859,badger-dao,48905043.05608,t
Ampleforth,0xd46ba6d942050d489dbd938a2c909a5d5039a161,9,AMPL,1,4056,ampleforth,48781590.74095,t
Origin Protocol,0x8207c1ffc5b6804f6024322ccf34f29c3541ae26,18,OGN,1,5117,origin-protocol,48700499.37438,t
Synth sUSD,0x57ab1ec28d129707052df4df418d58a2d46d5f51,18,sUSD,1,2927,nusd,47403495.76944,t
Coinweb,0x505b5eda5e25a67e1c24a2bf1a527ed9eb88bf04,18,CWEB,1,12089,coinweb,46668334.91173,t
Aavegotchi,0x3f382dbd960e3a9bbceae22651e88158d2791550,18,GHST,1,7046,aavegotchi,44008250.22082,t
Yield Guild Games,0x25f8087ead173b73d6e8b84329989a8eea16cf73,18,YGG,1,10688,yield-guild-games,43235270.31095,t
Rally,0xf1f955016ecbcd7321c7266bccfb96c68ea5e49b,18,RLY,1,8075,rally-2,41557322.7581,t
DefiPulse Index,0x1494ca1f11d487c2bbe4543e90080aeba4ba3c2b,18,DPI,1,7055,defipulse-index,38453729.63336,t
Melon Token,0xec67005c4e498ec7f55e092bd1d35cbc47c91892,18,MLN,1,1552,melon,37795605.18243,t
DXdao,0xa1d65e8fb6e87b60feccbc582f7f97804b725521,18,DXD,1,5589,dxdao,36894057.92728,t
Cream,0x2ba592f78db6436527729929aaf6c908497cb200,18,CREAM,1,6193,cream-2,36441924.95561,t
Meter Governance mapped by Meter.io,0xbd2949f67dcdc549c6ebe98696449fa79d988a9f,18,eMTRG,1,5919,meter-governance-mapped-by-meter-io,36293763.41613,t
Terra Virtua Kolect,0xd084b83c305dafd76ae3e1b4e1f1fe2ecccb3988,18,TVK,1,8037,the-virtua-kolect,34487450.54404,t
Alchemix,0xdbdb4d16eda451d0503b854cf79d55697f90c8df,18,ALCX,1,8613,alchemix,31900030.09182,t
Orion Protocol,0x0258f474786ddfd37abce6df6bbb1dd5dfc4434a,8,ORN,1,5631,orion-protocol,31781040.38622,t
