name,address,decimal,symbol,chain_id,coinmarketcap_id,coingecko_id,market_cap,type
CryptoFranc,0xb4272071ecadd69d933adcd19ca99fe80664fc08,18,XCHF,1,4075,cryptofranc,3463188.97179,t
Abyss,0x0e8d6b471e332f140e7d9dbb99e5e3822f728da6,18,ABYSS,1,2847,the-abyss,3143245.44269,t
Wrapped MIR Token,0x09a3ecafa817268f77be1283176b946c4ff2e608,18,MIR,1,7857,mirror-protocol,3008124.08307,t
Salt,0x4156d3342d5c385a87d264f90653733592000581,8,SALT,1,1996,salt,3007479.5362,t
O3,0xee9801669c6138e84bd50deb500827b776777d28,18,O3,1,9588,o3-swap,2697567.72294,t
Geeq,0x6b9f031d718dded0d681c20cb754f97b3bb81b78,18,GEEQ,1,6194,geeq,2532340.18702,t
Monolith,0xaaaf91d9b90df800df4f55c205fd6989c977e73a,8,TKN,1,1660,tokencard,2400301.97732,t
FOAM Token,0x4946fcea7c692606e8908002e55a582af44ac121,18,FOAM,1,3631,foam-protocol,2368626.14712,t
STACK,0x56a86d648c435dc707c8405b78e2ae8eb4e60ba4,18,STACK,1,9201,stackos,2199046.9375,t
Furucombo,0xffffffff2ba8f66d4e51811c5190992176930278,18,COMBO,1,8259,furucombo,2106177.07765,t
Blockchain Certified Data Token,0xacfa209fb73bf3dd5bbfb1101b9bc999c49062a5,18,BCDT,1,3616,blockchain-certified-data-token,2080985.56171,t
Meta,0xa3bed4e1c75d00fa6f4e5e6922db7261b5e9acd2,18,MTA,1,5748,meta,2015576.92144,t
STAKE,0x0ae055097c6d159879521c384f1d2123d1f195e6,18,STAKE,1,5601,xdai-stake,1839229.41706,t
Cindicator,0xd4c435f5b09f855c3317c8524cb1f586e42795fa,18,CND,1,2043,cindicator,1659505.21329,t
CWS,0xac0104cca91d167873b8601d2e71eb3d4d8c33e0,18,CWS,1,8365,crowns,1384402.73962,t
Ripio,0xf970b8e36e23f7fc3fd752eea86f8be8d83375a6,18,RCN,1,2096,ripio-credit-network,1299706.26317,t
DLP Duck Token,0xc0ba369c8db6eb3924965e5c4fd0b4c1b91e305f,18,DUCK,1,8063,dlp-duck-token,1091291.66813,t
0xBitcoin Token,0xb6ed7644c69416d67b522e20bc294a9a9b405b31,8,0xBTC,1,2837,oxbitcoin,1012544.80584,t
Strong,0x990f341946a3fdb507ae7e52d17851b87168017c,18,STRONG,1,6511,strong,991986.17351,t
Sirin Labs,0x68d57c9a1c35f63e2c83ee8e49a64e9d70528d25,18,SRN,1,2313,sirin-labs-token,881220.8342,t
SyncFab,0x6710c63432a2de02954fc0f851db07146a6c0312,18,MFG,1,2658,smart-mfg,877533.44783,t
8pay,0xfeea0bdd3d07eb6fe305938878c0cadbfa169042,18,8PAY,1,9046,8pay,768710.77815,t
XIO Network,0x0f7f961648ae6db43c75663ac7e5414eb79b5704,18,XIO,1,4997,xio,552320.49422,t
Opium Governance Token,0x888888888889c00c67689029d7856aac1065ec11,18,OPIUM,1,7230,opium,516672.99357,t
XY Finance,0x77777777772cf0455fb38ee0e75f38034dfa50de,18,XY,1,16013,xy-finance,509031.79549,t
Binance-Peg Ethereum Token,0x2170ed0880ac9a755fd29b2688956bd959f933f8,18,ETH,56,1027,weth,223208277505.788,t
Binance-Peg USD (T),0x55d398326f99059ff775485246999027b3197955,18,USDT,56,825,tether,82981594211.0362,t
Binance-Peg USD Coin,0x8ac76a51cc950d9822d68b83fe1ad97b32cd580d,18,USDC,56,3408,usd-coin,29432070228.2234,t
Binance-Peg XRP Token,0x1d2f0da169ceb9fc7b3144628db156f3f6c60dbe,18,XRP,56,52,binance-peg-xrp,24043428845.46,t
Binance-Peg Cardano Token,0x3ee2200efb3400fabb9aacf31297cbdd1d435d47,18,ADA,56,2010,binance-peg-cardano,12921423457.5912,t
Binance-Peg Dogecoin,0xba2ae424d960c26247dd6c32edc70b295c744c43,8,DOGE,56,74,binance-peg-dogecoin,10227280416.3919,t
Polygon,0xcc42724c6683b7e57334c4e856f4c9965ed682bd,18,MATIC,56,3890,matic-network,8203260263.5699,t
Binance-Peg Litecoin Token,0x4338665cbb7b2485a8855a139b75d5e34ab0db94,18,LTC,56,2,binance-peg-litecoin,6723144945.27396,t
Binance-Peg Polkadot Token,0x7083609fce4d1d8dc0c979aab8c869ea2c873402,18,DOT,56,6636,binance-peg-polkadot,6395235506.12632,t
Binance-Peg BUSD Token,0xe9e7cea3dedca5984780bafc599bd69add087d56,18,BUSD,56,4687,binance-usd,5460158316.93468,t
Binance-Peg Dai Token,0x1af3f329e8be154074d8769d1ffa4ee058b1dbc3,18,DAI,56,4943,dai,4848712006.7525,t
Binance-Peg ChainLink Token,0xf8a0bf9cf54bb92f17374d9e9a321e6a111a51bd,18,LINK,56,1975,chainlink,3396924556.37698,t
Binance-Peg Cosmos Token,0x0eb3a705fc54725037cc9e008bdede697f62f335,18,ATOM,56,3794,cosmos,3012688436.80437,t
Binance-Peg Uniswap,0xbf5140a22578168fd562dccf235e5d43a02ce9b1,18,UNI,56,7083,uniswap,2961696429.14052,t
TrueUSD,0x14016e85a25aeb13065688cafb43044c2ef86784,18,TUSD,56,2563,true-usd,2071515293.89542,t
Binance-Peg Filecoin,0x0d8ce2a99bb6e3b7db580ed848240e4a0f9ae153,18,FIL,56,2280,binance-peg-filecoin,1903124836.24847,t
Binance-Peg BTCB Token,0x7130d2a12b9bcbfae4f2634d864a1ee1ce3ead9c,18,BTCB,56,4023,binance-bitcoin,1470532698.53889,t
Fantom,0xad29abb318791d579433d831ed122afeaf29dcfe,18,FTM,56,3513,wrapped-fantom,1023483064.19476,t
Binance-Peg EOS Token,0x56b6fb708fc5732dec1afc8d8556423a2edccbd6,18,EOS,56,1765,binance-peg-eos,943742378.29629,t
Elrond,0xbf7c81fff98bbe61b40ed186e4afd6ddd01337fe,18,EGLD,56,6892,wrapped-elrond,942027465.83905,t
Binance-Pegged Axie Infinity Shard,0x715d400f88c167884bbcc41c5fea407ed4d2f8a0,18,AXS,56,6783,axie-infinity,815282609.70537,t
Injective Protocol,0xa2b726b1145a4773f68593cf171187d8ebe4d495,18,INJ,56,7226,injective-protocol,543495149.41463,t
Trust Wallet,0x4b0f1812e5df2a09796481ff14017e6005508003,18,TWT,56,5964,trust-wallet-token,448013411.31178,t
Wootrade Network,0x4691937a7508860f876c9c0a2a617e7d9e945d4b,18,WOO,56,7501,woo-network,384533553.01985,t
Zilliqa,0xb86abcb37c3a4b64f74f59301aff131a1becc787,12,ZIL,56,2469,zilliqa,375110219.49288,t
PancakeSwap Token,0x0e09fabb73bd3ade0a17ecc321fd13a19e81ce82,18,CAKE,56,7186,pancakeswap-token,365752431.59863,t
Mask Network,0x2ed9a5c8c13b93955103b9a7c167b67ef4d568a3,18,MASK,56,8536,mask-network,352035750.04592,t
Binance-Peg Basic Attention Token,0x101d82428437127bf1608f699cd651e6abf9766e,18,BAT,56,1697,basic-attention-token,332361271.21149,t
1INCH Token,0x111111111117dc0aa78b770fa6a738034120c302,18,1INCH,56,8104,1inch,327460974.134,t
Baby Doge Coin,0xc748673057861a797275cd8a068abb95a902e8de,9,BABYDOGE,56,10407,baby-doge-coin,313482114.96496,t
FLOKI,0xfb5b838b6cfeedc2873ab27866079ac55363d37e,9,FLOKI,56,10804,floki,305958388.09331,t
Binance-Peg Compound Coin,0x52ce071bd9b1c4b00a0b92d298c512478cad67e8,18,COMP,56,5692,compound-governance-token,267067007.548,t
Ankr,0xf307910a4c7bbc79691fd374889b36d8531b08e3,18,ANKR,56,3783,ankr,258709157.59309,t
Swipe,0x47bead2563dcbf3bf2c9407fea4dc236faba485a,18,SXP,56,4279,swipe,243514835.27342,t
Binance-Peg IoTeX Network,0x9678e42cebeb63f23197d726b29b1cb20d0064e5,18,IOTX,56,2777,binance-peg-iotex,217614415.03095,t
SafePal Token,0xd41fdb03ba84762dd66a0af1a6c8540ff1ba5dfb,18,SFP,56,8119,safepal,152195117.93057,t
SPACE ID,0x2dff88a56767223a5529ea5960da7a3f5f766406,18,ID,56,21846,space-id,151731991.26505,t
Multichain,0x9fb9a33956351cf4fa040f65a13b835a3c8764e3,18,MULTI,56,17050,multichain,109472323.24058,t
Kyber Network Crystal,0xfe56d5892bdffc7bf58f2e84be1b2c32d21c308b,18,KNC,56,9444,kyber-network-crystal,107193623.45355,t
Metis Token,0xe552fb52a4f19e44ef5a967632dbc320b0820639,18,METIS,56,9640,metis-token,100314493.30439,t
Coin98,0xaec945e04baf28b135fa7c640f624f8d90f1c3a6,18,C98,56,10903,coin98,94514316.67279,t
DeXe,0x039cb485212f996a9dbb85a9a75d898f94d38da6,18,DEXE,56,7326,dexe,93301102.2407,t
AlphaToken,0xa1faa113cbe53436df28ff0aee54275c13b40975,18,Alpha,56,7232,alpha-finance,80464218.74663,t
Mobox,0x3203c9e46ca618c8c1ce5dc67e7e9d75f5da2377,18,MBOX,56,9175,mobox,79555498.34997,t
Venus,0xcf6bb5389c92bdda8a3747ddb454cb7a64626c63,18,XVS,56,7288,venus,75549354.44538,t
Beta Token,0xbe1a001fe942f96eea22ba08783140b9dcc09d28,18,BETA,56,11307,beta-finance,65603453.40937,t
ALICE,0xac51066d7bec65dc4589368da368b212745d63e8,6,ALICE,56,8766,my-neighbor-alice,64480130.9173,t
Dusk Network,0xb2bd0749dbe21f623d9baba856d3b0f0e1bfec9c,18,DUSK,56,4092,dusk-network,64066202.35415,t
MDX Token,0x9c65ab58d8d978db963e63f2bfb7121627e3a739,18,MDX,56,8335,mdex-bsc,62986337.4446,t
CEEK  VR,0xe0f94ac5462997d2bc57287ac3a3ae4c31345d66,18,CEEK,56,2856,ceek,59648893.42586,t
Alien Worlds Trilium,0x2222227e22102fe3322098e4cbfe18cfebd57c95,4,TLM,56,9119,alien-worlds,57968044.86055,t
VAI Stablecoin,0x4bd17003473389a42daf6a0a729f6fdb328bbbd7,18,VAI,56,7824,vai,56752693.30548,t
Linear Token,0x762539b45a1dcce3d36d080f74d1aed37844b878,18,LINA,56,7102,,55341444.89502,t
SeedifyFund,0x477bc8d23c634c154061869478bce96be6045d12,18,SFUND,56,8972,seedify-fund,52153496.62734,t
Reef.finance,0xf21768ccbc73ea5b6fd3c687208a7c2def2d966e,18,REEF,56,6951,reef,51742397.21182,t
Biswap,0x965f527d9159dce6288a2219db51fc6eef120dd1,18,BSW,56,10746,biswap,47055031.85884,t
Tokocrypto Token,0x9f589e3eabe42ebc94a44727b3f3531c0c877809,18,TKO,56,9020,tokocrypto,46120533.32451,t
TokenPocket Token,0xeca41281c24451168a37211f0bc2b8645af45092,4,TPT,56,5947,token-pocket,35946457.06101,t
PolkastarterToken,0x7e624fa0e1c4abfd309cc15719b7e2580887f570,18,POLS,56,7208,polkastarter,35786614.57339,t
LTO Network,0x857b222fc79e1cbbf8ca5f78cb133d1b7cf34bbd,18,LTO,56,3714,lto-network,35673334.09228,t
Litentry,0xb59490ab09a0f526cc7305822ac65f2ab12f9723,18,LIT,56,6833,litentry,33286567.89026,t
AlpacaToken,0x8f0528ce5ef7b51152a59745befdd91d97091d2f,18,ALPACA,56,8707,alpaca-finance,32076931.91253,t
RAMP DEFI,0x8519ea49c997f50ceffa444d240fb655e89248aa,18,RAMP,56,7463,ramp,26047825.66414,t
Everdome,0x475bfaa1848591ae0e6ab69600f48d828f61a80e,18,DOME,56,16432,everdome,21500205.17597,t
Frontier Token,0x928e55dab735aa8260af3cedada18b5f70c72f1b,18,FRONT,56,5893,frontier-token,15967995.66145,t
Fuse,0x5857c96dae9cf8511b08cb07f85753c472d36ea3,18,FUSE,56,5634,fuse-network-token,15121236.66051,t
DeRace,0x373e768f79c820aa441540d254dca6d045c6d25b,18,DERC,56,10744,derace,14321422.33567,t
Perlin,0x0f9e4d49f25de22c2202af916b681fbb3790497b,18,PERL,56,4293,perlin,9916308.72681,t
BSCPAD.com,0x5a3010d4d8d3b5fb49f8b6e57fb9e48063f16700,18,BSCPAD,56,8660,bscpad,9816395.33379,t
renBTC,0xfce146bf3146100cfe5db4129cf6c82b0ef4ad8c,8,renBTC,56,5777,renbtc,8792760.50304,t
Thetan Arena,0x9fd87aefe02441b123c3c32466cd9db4c578618f,18,THG,56,11926,thetan-arena,6298051.95729,t
CELL,0xf3e1449ddb6b218da2c9463d4594ceccc8934346,18,CELL,56,8992,cellframe,6256212.01992,t
pTokens CGG,0x1613957159e9b0ac6c80e824f7eea748a32a0ae2,18,CGG,56,8648,chain-guardians,4987862.20501,t
StandardBTCHashrateToken,0x78650b139471520656b9e7aa7a5e9276814a38e9,17,BTCST,56,8891,btc-standard-hashrate-token,4819785.70775,t
Bondly,0x5d0158a5c3ddf47d4ea4517d8db0d76aa2e87563,18,BONDLY,56,7931,bondly,4110864.96462,t
ROOBEE,0xe64f5cb844946c1f102bd25bbd87a5ab4ae89fbe,18,bROOBEE,56,4804,roobee,3386891.33195,t
Torum,0xcd1faff6e578fa5cac469d2418c95671ba1a62fe,18,XTM,56,10421,torum,3065553.32823,t
NFTB,0xde3dbbe30cfa9f437b293294d1fd64b26045c71a,18,NFTB,56,9545,nftb,3001963.95343,t
O3,0xee9801669c6138e84bd50deb500827b776777d28,18,O3,56,9588,o3-swap,2697567.72294,t
Juggernaut DeFi,0xc13b7a43223bb9bf4b69bd68ab20ca1b79d81c75,18,JGN,56,6942,juggernaut,2494082.32104,t
Woonkly Power,0x8b303d5bbfbbf46f1a4d9741e491e06986894e18,18,WOOP,56,8937,woonkly-power,2271952.42335,t
AUTOv2,0xa184088a740c695e156f91f5cc086a06bb78b827,18,AUTO,56,8387,auto,1840337.40835,t
PolyCrowns,0xbcf39f0edda668c58371e519af37ca705f2bfcbd,18,pCWS,56,8365,crowns,1384402.73962,t
JulSwap,0x5a41f637c3f7553dba6ddc2d3ca92641096577ea,18,JulD,56,8164,julswap,965124.04213,t
8pay,0xfeea0bdd3d07eb6fe305938878c0cadbfa169042,18,8PAY,56,9046,8pay,768710.77815,t
